run_id,method,lora_rank,train_fraction,n_shots,seed,accuracy,unparseable_rate,mean_latency_ms,p99_latency_ms,trainable_params,total_params,peak_memory_mb,train_wall_time_s,final_train_loss,eval_n_items,timestamp
lora_r4_seed0,lora,4,1.0,0,0,0.783,,,,544768,1544259072,,,0.0442,3080,
lora_r4_seed1,lora,4,1.0,0,1,0.781,,,,544768,1544259072,,,0.0376,3080,
lora_r8_seed0,lora,8,1.0,0,0,0.8159090909090909,0.0003246753246753247,745.5338689775881,985.3731958805292,1089536,1544803840,4268.801536,20231.36786365509,0.19244127064848726,3080,2026-09-03T15:16:32
lora_r16_seed0,lora,16,1.0,0,0,0.8389610389610389,0.0,704.3408725987189,944.022650687657,2179072,1545893376,4286.234112,17267.987760066986,0.1308993865671558,3080,2026-09-03T20:55:42
lora_r32_seed0,lora,32,1.0,0,0,0.8704545454545455,0.0,743.2502854181892,999.9677884711855,4358144,1548072448,4321.099264,18558.82213950157,0.07711974127156888,3080,2026-09-04T13:03:54
lora_r64_seed0,lora,64,1.0,0,0,0.8785714285714286,0.0003246753246753247,777.14917646719,1056.715123990034,8716288,1552430592,4391.420416,20027.095697402954,0.1413039639019189,3080,2026-09-04T20:05:28
lora_r8_frac0.05_seed0,lora,8,0.05,0,0,0.15844155844155844,0.6636363636363637,982.3443711727296,1200.1843319999898,1089536,1544803840,4268.801536,971.6137089729309,1.5768106246056657,3080,2026-09-04T21:34:53
lora_r8_frac0.1_seed0,lora,8,0.1,0,0,0.47954545454545455,0.023051948051948053,741.0730395597463,988.9980736304551,1089536,1544803840,4229.085696,1855.1009273529053,0.40037386858602986,3080,2026-09-05T10:59:27
