run_id,method,lora_rank,train_fraction,n_shots,seed,accuracy,unparseable_rate,mean_latency_ms,p99_latency_ms,trainable_params,total_params,peak_memory_mb,train_wall_time_s,final_train_loss,eval_n_items,timestamp
zero_shot_seed0,zero_shot,,1.0,0,0,0.4069264069264069,0.050505050505050504,647.5269698689411,1336.741261952557,1543714304,1543714304,,,,693,2026-08-22T15:58:08
zero_shot_seed1,zero_shot,,1.0,0,1,0.4069264069264069,0.050505050505050504,818.311738566103,1465.4877096693963,1543714304,1543714304,,,,693,2026-08-22T16:07:45
zero_shot_seed2,zero_shot,,1.0,0,2,0.4069264069264069,0.050505050505050504,779.2020618395132,1363.8667769124734,1543714304,1543714304,,,,693,2026-08-22T16:16:55
few_shot_shots2_seed0,few_shot,,1.0,2,0,0.47619047619047616,0.017316017316017316,898.5713362877901,1410.849996688778,1543714304,1543714304,,,,693,2026-08-22T16:27:26
few_shot_shots2_seed1,few_shot,,1.0,2,1,0.481962481962482,0.01875901875901876,856.817999570449,1265.5199303850545,1543714304,1543714304,,,,693,2026-08-22T16:37:29
few_shot_shots2_seed2,few_shot,,1.0,2,2,0.494949494949495,0.012987012987012988,878.2829599156653,1366.765563399531,1543714304,1543714304,,,,693,2026-08-22T16:47:45
few_shot_shots4_seed0,few_shot,,1.0,4,0,0.4834054834054834,0.020202020202020204,955.3131109369317,1423.639521324076,1543714304,1543714304,,,,693,2026-08-22T16:58:56
few_shot_shots4_seed1,few_shot,,1.0,4,1,0.5165945165945166,0.020202020202020204,957.2123830775498,1192.918766285293,1543714304,1543714304,,,,693,2026-08-22T17:10:18
few_shot_shots4_seed2,few_shot,,1.0,4,2,0.5021645021645021,0.01443001443001443,911.0974476736209,1239.2254685936502,1543714304,1543714304,,,,693,2026-08-22T17:20:57
few_shot_shots8_seed0,few_shot,,1.0,8,0,0.5281385281385281,0.02886002886002886,810.7434360476407,1019.7488283412537,1543714304,1543714304,,,,693,2026-08-22T17:30:28
few_shot_shots8_seed1,few_shot,,1.0,8,1,0.5079365079365079,0.012987012987012988,781.9623800858379,914.8004422662781,1543714304,1543714304,,,,693,2026-08-22T17:39:36
few_shot_shots8_seed2,few_shot,,1.0,8,2,0.5079365079365079,0.021645021645021644,805.3478810747731,877.1272783121094,1543714304,1543714304,,,,693,2026-08-22T17:49:01
